Date,Se-Jong,Cheon-An,Gong-Ju
2020-11-25,350000,660000,110000
2020-11-25,349533.0,660817,110050
2020-12-25,349071.0,661631,110099
2021-1-25,348613.0,662441,110147
2021-2-25,348159.0,663248,110194
2021-3-25,347709.0,664052,110240
2021-4-25,347263.0,664853,110285
2021-5-25,346821.0,665651,110329
2021-6-25,346383.0,666446,110372
2021-7-25,345949.0,667238,110414
2021-8-25,345519.0,668027,110455
2021-9-25,345093.0,668814,110495
2021-10-25,344671.0,669598,110534
2021-11-25,344252.0,670379,110572
2021-12-25,343837.0,671157,110609
2022-1-25,343426.0,671932,110645
2022-2-25,343018.0,672704,110680
2022-3-25,342614.0,673473,110715
2022-4-25,342214.0,674239,110749
2022-5-25,341817.0,675003,110782
2022-6-25,341424.0,675764,110814
2022-7-25,341034.0,676522,110846
2022-8-25,340648.0,677277,110877
2022-9-25,340265.0,678030,110907
2022-10-25,339886.0,678780,110936
2022-11-25,339510.0,679527,110965
2022-12-25,339138.0,680271,110993
2023-1-25,338769.0,681013,111020
2023-2-25,338403.0,681752,111047
2023-3-25,338040.0,682488,111073
2023-4-25,337681.0,683222,111098
2023-5-25,337325.0,683953,111123
2023-6-25,336972.0,684682,111147
2023-7-25,336622.0,685408,111171
2023-8-25,336275.0,686131,111194
2023-9-25,335932.0,686852,111217
2023-10-25,335592.0,687570,111239
2023-11-25,335255.0,688286,111260
2023-12-25,334921.0,688999,111281
2024-1-25,334590.0,689710,111301
2024-2-25,334262.0,690418,111321
2024-3-25,333937.0,691124,111340
2024-4-25,333615.0,691827,111359
2024-5-25,333295.0,692528,111378
2024-6-25,332978.0,693227,111396
2024-7-25,332664.0,693923,111414
2024-8-25,332353.0,694617,111431
2024-9-25,332045.0,695308,111448
2024-10-25,331740.0,695997,111464
2024-11-25,331437.0,696684,111480
2024-12-25,331137.0,697368,111496
2025-1-25,330840.0,698050,111511
2025-2-25,330545.0,698730,111526
2025-3-25,330253.0,699407,111541
2025-4-25,329964.0,700082,111555
2025-5-25,329677.0,700755,111569
2025-6-25,329393.0,701426,111583
2025-7-25,329111.0,702094,111596
2025-8-25,328832.0,702760,111609
2025-9-25,328555.0,703424,111622
2025-10-25,328281.0,704086,111634
2025-11-25,328009.0,704746,111646
2025-12-25,327740.0,705403,111658
2026-1-25,327473.0,706058,111669
2026-2-25,327209.0,706711,111680
2026-3-25,326947.0,707362,111691
2026-4-25,326688.0,708011,111702
2026-5-25,326431.0,708658,111712
2026-6-25,326176.0,709302,111722
2026-7-25,325924.0,709944,111732
2026-8-25,325674.0,710584,111742
2026-9-25,325426.0,711222,111752
2026-10-25,325180.0,711858,111761
2026-11-25,324937.0,712492,111770
2026-12-25,324696.0,713124,111779
2027-1-25,324457.0,713754,111788
2027-2-25,324220.0,714382,111797
2027-3-25,323985.0,715008,111805
2027-4-25,323753.0,715632,111813
2027-5-25,323523.0,716254,111821
2027-6-25,323295.0,716874,111829
2027-7-25,323069.0,717492,111837
2027-8-25,322845.0,718108,111845
2027-9-25,322623.0,718722,111852
2027-10-25,322403.0,719334,111859
2027-11-25,322185.0,719945,111866
2027-12-25,321969.0,720554,111873
2028-1-25,321755.0,721161,111880
2028-2-25,321543.0,721766,111887
2028-3-25,321333.0,722369,111894
2028-4-25,321125.0,722970,111901
2028-5-25,320919.0,723569,111908
2028-6-25,320715.0,724166,111914
2028-7-25,320513.0,724762,111920
2028-8-25,320313.0,725356,111926
2028-9-25,320115.0,725948,111932
2028-10-25,319919.0,726538,111938
2028-11-25,319724.0,727127,111944
2028-12-25,319531.0,727714,111950
2029-1-25,319340.0,728299,111956
2029-2-25,319151.0,728882,111962
2029-3-25,318964.0,729464,111968
2029-4-25,318779.0,730044,111974
2029-5-25,318595.0,730622,111980
2029-6-25,318413.0,731198,111986
2029-7-25,318233.0,731773,111992
2029-8-25,318055.0,732346,111997
2029-9-25,317878.0,732917,112002
2029-10-25,317703.0,733487,112007
2029-11-25,317530.0,734055,112012
2029-12-25,317358.0,734621,112017
2030-1-25,317188.0,735186,112022
2030-2-25,317020.0,735749,112027
2030-3-25,316853.0,736310,112032
2030-4-25,316688.0,736870,112037
2030-5-25,316524.0,737428,112042
2030-6-25,316362.0,737985,112047
2030-7-25,316202.0,738540,112052
2030-8-25,316043.0,739093,112057
2030-9-25,315886.0,739645,112062
2030-10-25,315730.0,740195,112067
2030-11-25,315576.0,740744,112072
2030-12-25,315423.0,741291,112077
2031-1-25,315272.0,741837,112082
2031-2-25,315122.0,742381,112087
2031-3-25,314974.0,742924,112092
2031-4-25,314827.0,743465,112097
2031-5-25,314682.0,744005,112102
2031-6-25,314538.0,744543,112107
2031-7-25,314396.0,745080,112112
2031-8-25,314255.0,745615,112117
2031-9-25,314116.0,746149,112123
2031-10-25,313978.0,746681,112129
2031-11-25,313841.0,747212,112135
2031-12-25,313706.0,747742,112141
2032-1-25,313572.0,748270,112147
2032-2-25,313440.0,748797,112153
2032-3-25,313309.0,749322,112159
2032-4-25,313179.0,749846,112165
2032-5-25,313051.0,750369,112171
2032-6-25,312924.0,750890,112177
2032-7-25,312798.0,751410,112183
2032-8-25,312674.0,751928,112189
2032-9-25,312551.0,752445,112195
2032-10-25,312429.0,752961,112201
2032-11-25,312309.0,753475,112207
2032-12-25,312190.0,753988,112213
2033-1-25,312072.0,754500,112219
2033-2-25,311955.0,755010,112225
2033-3-25,311840.0,755519,112231
2033-4-25,311726.0,756027,112237
2033-5-25,311613.0,756533,112243
2033-6-25,311501.0,757038,112249
2033-7-25,311391.0,757542,112256
2033-8-25,311282.0,758045,112263
2033-9-25,311174.0,758546,112270
2033-10-25,311067.0,759046,112277
2033-11-25,310961.0,759545,112284
2033-12-25,310857.0,760043,112291
2034-1-25,310754.0,760539,112298
2034-2-25,310652.0,761034,112305
2034-3-25,310551.0,761528,112312
2034-4-25,310451.0,762021,112319
2034-5-25,310352.0,762513,112326
2034-6-25,310254.0,763003,112333
2034-7-25,310158.0,763492,112340
2034-8-25,310063.0,763980,112347
2034-9-25,309969.0,764467,112354
2034-10-25,309876.0,764953,112362
2034-11-25,309784.0,765437,112370
2034-12-25,309693.0,765920,112378
2035-1-25,309603.0,766402,112386
2035-2-25,309514.0,766883,112394
2035-3-25,309426.0,767363,112402
2035-4-25,309339.0,767842,112410
2035-5-25,309253.0,768320,112418
2035-6-25,309168.0,768796,112426
2035-7-25,309084.0,769271,112434
2035-8-25,309001.0,769745,112442
2035-9-25,308919.0,770218,112450
2035-10-25,308838.0,770690,112459
2035-11-25,308758.0,771161,112468
2035-12-25,308679.0,771631,112477
2036-1-25,308601.0,772100,112486
2036-2-25,308524.0,772568,112495
2036-3-25,308448.0,773035,112504
2036-4-25,308373.0,773501,112513
2036-5-25,308299.0,773966,112522
2036-6-25,308226.0,774429,112531
2036-7-25,308154.0,774891,112540
2036-8-25,308083.0,775352,112549
2036-9-25,308013.0,775812,112558
2036-10-25,307944.0,776271,112568
2036-11-25,307876.0,776729,112578
2036-12-25,307809.0,777186,112588
2037-1-25,307743.0,777642,112598
2037-2-25,307678.0,778097,112608
2037-3-25,307614.0,778551,112618
2037-4-25,307551.0,779004,112628
2037-5-25,307488.0,779456,112638
2037-6-25,307426.0,779907,112648
2037-7-25,307365.0,780357,112658
2037-8-25,307305.0,780807,112668
2037-9-25,307246.0,781256,112679
2037-10-25,307188.0,781704,112690
2037-11-25,307131.0,782151,112701
2037-12-25,307074.0,782597,112712
2038-1-25,307018.0,783042,112723
2038-2-25,306963.0,783486,112734
2038-3-25,306909.0,783929,112745
2038-4-25,306856.0,784371,112756
2038-5-25,306804.0,784812,112767
2038-6-25,306752.0,785252,112778
2038-7-25,306701.0,785691,112790
2038-8-25,306651.0,786129,112802
2038-9-25,306602.0,786567,112814
2038-10-25,306554.0,787004,112826
2038-11-25,306506.0,787440,112838
2038-12-25,306459.0,787875,112850
2039-1-25,306413.0,788309,112862
2039-2-25,306368.0,788742,112874
2039-3-25,306323.0,789174,112886
2039-4-25,306279.0,789605,112898
2039-5-25,306236.0,790036,112910
2039-6-25,306194.0,790466,112923
2039-7-25,306152.0,790895,112936
2039-8-25,306111.0,791323,112949
2039-9-25,306071.0,791750,112962
2039-10-25,306032.0,792176,112975
2039-11-25,305993.0,792602,112988
2039-12-25,305955.0,793027,113001
2040-1-25,305918.0,793451,113014
2040-2-25,305882.0,793874,113027
2040-3-25,305846.0,794296,113040
2040-4-25,305811.0,794718,113054
2040-5-25,305777.0,795139,113068
2040-6-25,305743.0,795559,113082
2040-7-25,305710.0,795978,113096
2040-8-25,305678.0,796396,113110
2040-9-25,305646.0,796814,113124
2040-10-25,305615.0,797231,113138
2040-11-25,305585.0,797647,113152
2040-12-25,305555.0,798062,113166
2041-1-25,305526.0,798477,113180
2041-2-25,305498.0,798891,113194
2041-3-25,305470.0,799304,113209
2041-4-25,305443.0,799716,113224
2041-5-25,305417.0,800128,113239
2041-6-25,305391.0,800539,113254
2041-7-25,305366.0,800949,113269
2041-8-25,305342.0,801358,113284
2041-9-25,305318.0,801767,113299
2041-10-25,305295.0,802175,113314
2041-11-25,305272.0,802582,113329
2041-12-25,305250.0,802989,113344
2042-1-25,305229.0,803395,113359
2042-2-25,305208.0,803800,113375
2042-3-25,305188.0,804204,113391
2042-4-25,305169.0,804608,113407
2042-5-25,305150.0,805011,113423
2042-6-25,305132.0,805413,113439
2042-7-25,305114.0,805815,113455
2042-8-25,305097.0,806216,113471
2042-9-25,305080.0,806616,113487
2042-10-25,305064.0,807016,113503
2042-11-25,305049.0,807415,113519
2042-12-25,305034.0,807813,113535
2043-1-25,305020.0,808211,113552
2043-2-25,305006.0,808608,113569
2043-3-25,304993.0,809004,113586
2043-4-25,304980.0,809400,113603
2043-5-25,304968.0,809795,113620
2043-6-25,304957.0,810189,113637
2043-7-25,304946.0,810583,113654
2043-8-25,304936.0,810976,113671
2043-9-25,304926.0,811369,113688
2043-10-25,304917.0,811761,113705
2043-11-25,304908.0,812152,113722
2043-12-25,304900.0,812543,113740
2044-1-25,304892.0,812933,113758
2044-2-25,304885.0,813322,113776
2044-3-25,304878.0,813711,113794
2044-4-25,304872.0,814099,113812
2044-5-25,304866.0,814487,113830
2044-6-25,304861.0,814874,113848
2044-7-25,304856.0,815260,113866
2044-8-25,304852.0,815646,113884
2044-9-25,304848.0,816031,113902
2044-10-25,304845.0,816416,113920
2044-11-25,304842.0,816800,113938
2044-12-25,304840.0,817184,113957
2045-1-25,304838.0,817567,113976
2045-2-25,304837.0,817949,113995
2045-3-25,304836.0,818331,114014
2045-4-25,304836.0,818712,114033
2045-5-25,304836.0,819093,114052
2045-6-25,304837.0,819473,114071
2045-7-25,304838.0,819853,114090
2045-8-25,304840.0,820232,114109
2045-9-25,304842.0,820611,114128
2045-10-25,304845.0,820989,114147
2045-11-25,304848.0,821366,114166
2045-12-25,304852.0,821743,114186
2046-1-25,304856.0,822119,114206
2046-2-25,304860.0,822495,114226
2046-3-25,304865.0,822870,114246
2046-4-25,304870.0,823245,114266
2046-5-25,304876.0,823619,114286
2046-6-25,304882.0,823993,114306
2046-7-25,304889.0,824366,114326
2046-8-25,304896.0,824739,114346
2046-9-25,304904.0,825111,114366
2046-10-25,304912.0,825483,114386
2046-11-25,304920.0,825854,114406
2046-12-25,304929.0,826225,114426
2047-1-25,304938.0,826595,114447
2047-2-25,304948.0,826965,114468
2047-3-25,304958.0,827334,114489
2047-4-25,304968.0,827703,114510
2047-5-25,304979.0,828071,114531
2047-6-25,304990.0,828439,114552
2047-7-25,305002.0,828806,114573
2047-8-25,305014.0,829173,114594
2047-9-25,305027.0,829539,114615
2047-10-25,305040.0,829905,114636
2047-11-25,305053.0,830270,114657
2047-12-25,305067.0,830635,114678
2048-1-25,305081.0,831000,114699
2048-2-25,305095.0,831364,114720
2048-3-25,305110.0,831728,114742
2048-4-25,305125.0,832091,114764
2048-5-25,305141.0,832454,114786
2048-6-25,305157.0,832816,114808
2048-7-25,305173.0,833178,114830
2048-8-25,305190.0,833539,114852
2048-9-25,305207.0,833900,114874
2048-10-25,305224.0,834261,114896
2048-11-25,305242.0,834621,114918
2048-12-25,305260.0,834981,114940
2049-1-25,305279.0,835340,114962
2049-2-25,305298.0,835699,114984
2049-3-25,305317.0,836057,115006
2049-4-25,305337.0,836415,115028
2049-5-25,305357.0,836772,115051
2049-6-25,305377.0,837129,115074
2049-7-25,305398.0,837486,115097
2049-8-25,305419.0,837842,115120
2049-9-25,305440.0,838198,115143
2049-10-25,305462.0,838553,115166
2049-11-25,305484.0,838908,115189
2049-12-25,305506.0,839263,115212
2050-1-25,305529.0,839617,115235
2050-2-25,305552.0,839971,115258
2050-3-25,305575.0,840324,115281
2050-4-25,305599.0,840677,115304
2050-5-25,305623.0,841030,115327
2050-6-25,305647.0,841382,115350
2050-7-25,305672.0,841734,115373
2050-8-25,305697.0,842085,115396
2050-9-25,305722.0,842436,115420
2050-10-25,305748.0,842787,115444
2050-11-25,305774.0,843137,115468
2050-12-25,305800.0,843487,115492
2051-1-25,305827.0,843837,115516
2051-2-25,305854.0,844186,115540
2051-3-25,305881.0,844535,115564
2051-4-25,305909.0,844883,115588
2051-5-25,305937.0,845231,115612
2051-6-25,305965.0,845579,115636
2051-7-25,305994.0,845926,115660
2051-8-25,306023.0,846273,115684
2051-9-25,306052.0,846620,115708
2051-10-25,306081.0,846966,115732
2051-11-25,306111.0,847312,115756
2051-12-25,306141.0,847658,115780
2052-1-25,306171.0,848003,115804
2052-2-25,306202.0,848348,115829
2052-3-25,306233.0,848693,115854
2052-4-25,306264.0,849037,115879
2052-5-25,306295.0,849381,115904
2052-6-25,306327.0,849725,115929
2052-7-25,306359.0,850068,115954
2052-8-25,306391.0,850411,115979
2052-9-25,306424.0,850754,116004
2052-10-25,306457.0,851096,116029
2052-11-25,306490.0,851438,116054
2052-12-25,306523.0,851780,116079
2053-1-25,306557.0,852121,116104
2053-2-25,306591.0,852462,116129
2053-3-25,306625.0,852803,116154
2053-4-25,306659.0,853143,116179
2053-5-25,306694.0,853483,116204
2053-6-25,306729.0,853823,116229
2053-7-25,306764.0,854162,116254
2053-8-25,306799.0,854501,116280
2053-9-25,306835.0,854840,116306
2053-10-25,306871.0,855178,116332
2053-11-25,306907.0,855516,116358
2053-12-25,306944.0,855854,116384
2054-1-25,306981.0,856191,116410
2054-2-25,307018.0,856528,116436
2054-3-25,307055.0,856865,116462
2054-4-25,307093.0,857202,116488
2054-5-25,307131.0,857538,116514
2054-6-25,307169.0,857874,116540
2054-7-25,307207.0,858210,116566
2054-8-25,307246.0,858545,116592
2054-9-25,307285.0,858880,116618
2054-10-25,307324.0,859215,116644
2054-11-25,307363.0,859550,116670
2054-12-25,307402.0,859884,116696
2055-1-25,307442.0,860218,116722
2055-2-25,307482.0,860552,116748
2055-3-25,307522.0,860885,116774
2055-4-25,307562.0,861218,116801
2055-5-25,307603.0,861551,116828
2055-6-25,307644.0,861884,116855
2055-7-25,307685.0,862216,116882
2055-8-25,307726.0,862548,116909
2055-9-25,307768.0,862880,116936
2055-10-25,307810.0,863211,116963
2055-11-25,307852.0,863542,116990
2055-12-25,307894.0,863873,117017
2056-1-25,307936.0,864204,117044
2056-2-25,307979.0,864534,117071
2056-3-25,308022.0,864864,117098
2056-4-25,308065.0,865194,117125
2056-5-25,308108.0,865524,117152
2056-6-25,308151.0,865853,117179
2056-7-25,308195.0,866182,117206
2056-8-25,308239.0,866511,117233
2056-9-25,308283.0,866840,117260
2056-10-25,308327.0,867168,117287
2056-11-25,308372.0,867496,117314
2056-12-25,308417.0,867824,117341
2057-1-25,308462.0,868152,117368
2057-2-25,308507.0,868479,117396
2057-3-25,308552.0,868806,117424
2057-4-25,308598.0,869133,117452
2057-5-25,308644.0,869460,117480
2057-6-25,308690.0,869786,117508
2057-7-25,308736.0,870112,117536
2057-8-25,308782.0,870438,117564
2057-9-25,308829.0,870764,117592
2057-10-25,308876.0,871089,117620
2057-11-25,308923.0,871414,117648
2057-12-25,308970.0,871739,117676
2058-1-25,309017.0,872064,117704
2058-2-25,309064.0,872389,117732
2058-3-25,309112.0,872713,117760
2058-4-25,309160.0,873037,117788
2058-5-25,309208.0,873361,117816
2058-6-25,309256.0,873685,117844
2058-7-25,309304.0,874008,117872
2058-8-25,309353.0,874331,117900
2058-9-25,309402.0,874654,117928
2058-10-25,309451.0,874977,117956
2058-11-25,309500.0,875300,117984
2058-12-25,309549.0,875622,118012
2059-1-25,309598.0,875944,118040
2059-2-25,309648.0,876266,118068
2059-3-25,309698.0,876588,118096
2059-4-25,309748.0,876909,118125
2059-5-25,309798.0,877230,118154
2059-6-25,309848.0,877551,118183
2059-7-25,309898.0,877872,118212
2059-8-25,309949.0,878193,118241
2059-9-25,310000.0,878513,118270
2059-10-25,310051.0,878833,118299
2059-11-25,310102.0,879153,118328
2059-12-25,310153.0,879473,118357
2060-1-25,310205.0,879793,118386
2060-2-25,310257.0,880112,118415
2060-3-25,310309.0,880431,118444
2060-4-25,310361.0,880750,118473
2060-5-25,310413.0,881069,118502
2060-6-25,310465.0,881388,118531
2060-7-25,310517.0,881707,118560
2060-8-25,310570.0,882025,118589
2060-9-25,310623.0,882343,118618
2060-10-25,310676.0,882661,118647
2060-11-25,310729.0,882979,118676
2060-12-25,310782.0,883297,118705
2061-1-25,310835.0,883614,118734
2061-2-25,310889.0,883931,118763
2061-3-25,310943.0,884248,118792
2061-4-25,310997.0,884565,118821
2061-5-25,311051.0,884882,118850
2061-6-25,311105.0,885198,118879
2061-7-25,311159.0,885514,118908
2061-8-25,311213.0,885830,118937
2061-9-25,311268.0,886146,118967
2061-10-25,311323.0,886462,118997
2061-11-25,311378.0,886778,119027
2061-12-25,311433.0,887093,119057
2062-1-25,311488.0,887408,119087
2062-2-25,311543.0,887723,119117
2062-3-25,311598.0,888038,119147
2062-4-25,311654.0,888353,119177
2062-5-25,311710.0,888668,119207
2062-6-25,311766.0,888982,119237
2062-7-25,311822.0,889296,119267
2062-8-25,311878.0,889610,119297
2062-9-25,311934.0,889924,119327
2062-10-25,311990.0,890238,119357
2062-11-25,312047.0,890552,119387
2062-12-25,312104.0,890865,119417
2063-1-25,312161.0,891178,119447
2063-2-25,312218.0,891491,119477
2063-3-25,312275.0,891804,119507
2063-4-25,312332.0,892117,119537
2063-5-25,312389.0,892430,119567
2063-6-25,312446.0,892742,119597
2063-7-25,312504.0,893054,119627
2063-8-25,312562.0,893366,119657
2063-9-25,312620.0,893678,119687
2063-10-25,312678.0,893990,119717
2063-11-25,312736.0,894302,119747
2063-12-25,312794.0,894614,119777
2064-1-25,312852.0,894925,119807
2064-2-25,312910.0,895236,119837
2064-3-25,312969.0,895547,119867
2064-4-25,313028.0,895858,119897
2064-5-25,313087.0,896169,119927
2064-6-25,313146.0,896480,119957
2064-7-25,313205.0,896790,119987
2064-8-25,313264.0,897100,120018
2064-9-25,313323.0,897410,120049
2064-10-25,313382.0,897720,120080
2064-11-25,313442.0,898030,120111
2064-12-25,313502.0,898340,120142
2065-1-25,313562.0,898650,120173
2065-2-25,313622.0,898959,120204
2065-3-25,313682.0,899268,120235
2065-4-25,313742.0,899577,120266
2065-5-25,313802.0,899886,120297
2065-6-25,313862.0,900195,120328
2065-7-25,313922.0,900504,120359
2065-8-25,313983.0,900813,120390
2065-9-25,314044.0,901122,120421
2065-10-25,314105.0,901430,120452
2065-11-25,314166.0,901738,120483
2065-12-25,314227.0,902046,120514
2066-1-25,314288.0,902354,120545
2066-2-25,314349.0,902662,120576
2066-3-25,314410.0,902970,120607
2066-4-25,314471.0,903278,120638
2066-5-25,314533.0,903585,120669
2066-6-25,314595.0,903892,120700
2066-7-25,314657.0,904199,120731
2066-8-25,314719.0,904506,120762
2066-9-25,314781.0,904813,120793
2066-10-25,314843.0,905120,120824
2066-11-25,314905.0,905427,120855
2066-12-25,314967.0,905734,120886
2067-1-25,315029.0,906040,120917
2067-2-25,315091.0,906346,120948
2067-3-25,315154.0,906652,120979
2067-4-25,315217.0,906958,121010
2067-5-25,315280.0,907264,121041
2067-6-25,315343.0,907570,121072
2067-7-25,315406.0,907876,121103
2067-8-25,315469.0,908182,121134
2067-9-25,315532.0,908488,121165
2067-10-25,315595.0,908793,121196
2067-11-25,315658.0,909098,121227
2067-12-25,315721.0,909403,121258
2068-1-25,315785.0,909708,121289
2068-2-25,315849.0,910013,121320
2068-3-25,315913.0,910318,121351
2068-4-25,315977.0,910623,121382
2068-5-25,316041.0,910928,121414
2068-6-25,316105.0,911233,121446
2068-7-25,316169.0,911537,121478
2068-8-25,316233.0,911841,121510
2068-9-25,316297.0,912145,121542
2068-10-25,316361.0,912449,121574
2068-11-25,316425.0,912753,121606
2068-12-25,316490.0,913057,121638
2069-1-25,316555.0,913361,121670
2069-2-25,316620.0,913665,121702
2069-3-25,316685.0,913969,121734
2069-4-25,316750.0,914272,121766
2069-5-25,316815.0,914575,121798
2069-6-25,316880.0,914878,121830
2069-7-25,316945.0,915181,121862
2069-8-25,317010.0,915484,121894
2069-9-25,317075.0,915787,121926
2069-10-25,317140.0,916090,121958
2069-11-25,317205.0,916393,121990
2069-12-25,317271.0,916696,122022
2070-1-25,317337.0,916999,122054
2070-2-25,317403.0,917301,122086
2070-3-25,317469.0,917603,122118
2070-4-25,317535.0,917905,122150
2070-5-25,317601.0,918207,122182
2070-6-25,317667.0,918509,122214
2070-7-25,317733.0,918811,122246
2070-8-25,317799.0,919113,122278
2070-9-25,317865.0,919415,122310
2070-10-25,317931.0,919717,122342
2070-11-25,317997.0,920019,122374
2070-12-25,318063.0,920321,122406
2071-1-25,318130.0,920622,122438
